"No.","Time","Source","Destination","Protocol","Length","Info"
"421","29.802001","2606:4700:4400::ac40:9bd1","2600:1700:1cd7:a8e0:6495:519f:55a7:5c26","TCP","117","[TCP Retransmission] 443  >  58743 [PSH, ACK] Seq=385 Ack=7450 Win=26 Len=31 TSval=2482537877 TSecr=1495720367"
"422","29.802156","2600:1700:1cd7:a8e0:6495:519f:55a7:5c26","2606:4700:4400::ac40:9bd1","TCP","86","58743  >  443 [ACK] Seq=7450 Ack=416 Win=2042 Len=0 TSval=1495720889 TSecr=2482537820"
"423","29.802250","2600:1700:1cd7:a8e0:6495:519f:55a7:5c26","2606:4700:4400::ac40:9bd1","TCP","98","[TCP Dup ACK 422#1] 58743  >  443 [ACK] Seq=7450 Ack=416 Win=2042 Len=0 TSval=1495720889 TSecr=2482537877 SLE=385 SRE=416"
"424","29.803811","2600:1700:1cd7:a8e0:6495:519f:55a7:5c26","2606:4700:4400::ac40:9bd1","TLSv1.2","121","Application Data"
"425","29.819343","2606:4700:4400::ac40:9bd1","2600:1700:1cd7:a8e0:6495:519f:55a7:5c26","TCP","86","443  >  58743 [ACK] Seq=416 Ack=7485 Win=26 Len=0 TSval=2482537927 TSecr=1495720891"
"432","32.836253","2600:1700:1cd7:a8e0:6495:519f:55a7:5c26","2606:4700:4400::ac40:9bd1","TCP","1434","58743  >  443 [ACK] Seq=7485 Ack=416 Win=2048 Len=1348 TSval=1495723923 TSecr=2482537927 [TCP PDU reassembled in 437]"
"433","32.836257","2600:1700:1cd7:a8e0:6495:519f:55a7:5c26","2606:4700:4400::ac40:9bd1","TCP","1434","58743  >  443 [ACK] Seq=8833 Ack=416 Win=2048 Len=1348 TSval=1495723923 TSecr=2482537927 [TCP PDU reassembled in 437]"
"434","32.836258","2600:1700:1cd7:a8e0:6495:519f:55a7:5c26","2606:4700:4400::ac40:9bd1","TCP","1434","58743  >  443 [ACK] Seq=10181 Ack=416 Win=2048 Len=1348 TSval=1495723923 TSecr=2482537927 [TCP PDU reassembled in 437]"
"435","32.836260","2600:1700:1cd7:a8e0:6495:519f:55a7:5c26","2606:4700:4400::ac40:9bd1","TCP","1434","58743  >  443 [ACK] Seq=11529 Ack=416 Win=2048 Len=1348 TSval=1495723923 TSecr=2482537927 [TCP PDU reassembled in 437]"
"436","32.836261","2600:1700:1cd7:a8e0:6495:519f:55a7:5c26","2606:4700:4400::ac40:9bd1","TCP","1434","58743  >  443 [ACK] Seq=12877 Ack=416 Win=2048 Len=1348 TSval=1495723923 TSecr=2482537927 [TCP PDU reassembled in 437]"
"437","32.836352","2600:1700:1cd7:a8e0:6495:519f:55a7:5c26","2606:4700:4400::ac40:9bd1","TLSv1.2","480","Application Data"
"438","32.836418","2600:1700:1cd7:a8e0:6495:519f:55a7:5c26","2606:4700:4400::ac40:9bd1","TLSv1.2","848","Application Data"
"439","32.842930","2600:1700:1cd7:a8e0:6495:519f:55a7:5c26","2606:4700:4400::ac40:9bd1","TCP","1434","58743  >  443 [ACK] Seq=15381 Ack=416 Win=2048 Len=1348 TSval=1495723930 TSecr=2482537927 [TCP PDU reassembled in 443]"
"440","32.842934","2600:1700:1cd7:a8e0:6495:519f:55a7:5c26","2606:4700:4400::ac40:9bd1","TCP","1434","58743  >  443 [ACK] Seq=16729 Ack=416 Win=2048 Len=1348 TSval=1495723930 TSecr=2482537927 [TCP PDU reassembled in 443]"
"441","32.842937","2600:1700:1cd7:a8e0:6495:519f:55a7:5c26","2606:4700:4400::ac40:9bd1","TCP","1434","58743  >  443 [ACK] Seq=18077 Ack=416 Win=2048 Len=1348 TSval=1495723930 TSecr=2482537927 [TCP PDU reassembled in 443]"
"442","32.842941","2600:1700:1cd7:a8e0:6495:519f:55a7:5c26","2606:4700:4400::ac40:9bd1","TCP","1434","58743  >  443 [ACK] Seq=19425 Ack=416 Win=2048 Len=1348 TSval=1495723930 TSecr=2482537927 [TCP PDU reassembled in 443]"
"443","32.843030","2600:1700:1cd7:a8e0:6495:519f:55a7:5c26","2606:4700:4400::ac40:9bd1","TLSv1.2","309","Application Data"
"444","32.843134","2600:1700:1cd7:a8e0:6495:519f:55a7:5c26","2606:4700:4400::ac40:9bd1","TCP","1434","58743  >  443 [ACK] Seq=20996 Ack=416 Win=2048 Len=1348 TSval=1495723930 TSecr=2482537927 [TCP PDU reassembled in 445]"
"445","32.843150","2600:1700:1cd7:a8e0:6495:519f:55a7:5c26","2606:4700:4400::ac40:9bd1","TLSv1.2","196","Application Data"
"446","32.860630","2606:4700:4400::ac40:9bd1","2600:1700:1cd7:a8e0:6495:519f:55a7:5c26","TCP","86","443  >  58743 [ACK] Seq=416 Ack=8833 Win=26 Len=0 TSval=2482540967 TSecr=1495723923"
"447","32.860633","2606:4700:4400::ac40:9bd1","2600:1700:1cd7:a8e0:6495:519f:55a7:5c26","TCP","86","443  >  58743 [ACK] Seq=416 Ack=11529 Win=26 Len=0 TSval=2482540967 TSecr=1495723923"
"448","32.860634","2606:4700:4400::ac40:9bd1","2600:1700:1cd7:a8e0:6495:519f:55a7:5c26","TCP","86","443  >  58743 [ACK] Seq=416 Ack=12877 Win=26 Len=0 TSval=2482540967 TSecr=1495723923"
"449","32.860635","2606:4700:4400::ac40:9bd1","2600:1700:1cd7:a8e0:6495:519f:55a7:5c26","TCP","86","443  >  58743 [ACK] Seq=416 Ack=14619 Win=26 Len=0 TSval=2482540967 TSecr=1495723923"
"450","32.860637","2606:4700:4400::ac40:9bd1","2600:1700:1cd7:a8e0:6495:519f:55a7:5c26","TCP","86","443  >  58743 [ACK] Seq=416 Ack=15381 Win=26 Len=0 TSval=2482540967 TSecr=1495723923"
"451","32.860638","2606:4700:4400::ac40:9bd1","2600:1700:1cd7:a8e0:6495:519f:55a7:5c26","TCP","86","443  >  58743 [ACK] Seq=416 Ack=16729 Win=26 Len=0 TSval=2482540968 TSecr=1495723930"
"452","32.860639","2606:4700:4400::ac40:9bd1","2600:1700:1cd7:a8e0:6495:519f:55a7:5c26","TCP","86","443  >  58743 [ACK] Seq=416 Ack=18077 Win=26 Len=0 TSval=2482540968 TSecr=1495723930"
"453","32.860640","2606:4700:4400::ac40:9bd1","2600:1700:1cd7:a8e0:6495:519f:55a7:5c26","TCP","86","443  >  58743 [ACK] Seq=416 Ack=19425 Win=26 Len=0 TSval=2482540968 TSecr=1495723930"
"454","32.860640","2606:4700:4400::ac40:9bd1","2600:1700:1cd7:a8e0:6495:519f:55a7:5c26","TCP","86","443  >  58743 [ACK] Seq=416 Ack=20996 Win=26 Len=0 TSval=2482540968 TSecr=1495723930"
"455","32.860641","2606:4700:4400::ac40:9bd1","2600:1700:1cd7:a8e0:6495:519f:55a7:5c26","TCP","86","443  >  58743 [ACK] Seq=416 Ack=22454 Win=26 Len=0 TSval=2482540968 TSecr=1495723930"
